// ================================================================================
// CHRONO WORKBENCH - github.com/Concrete-Chrono-Development/chrono-preprocessor
//
// Copyright (c) 2023 
// All rights reserved. 
//
// Use of the code that generated this file is governed by a BSD-style license that
// can be found in the LICENSE file at the top level of the distribution and at
// github.com/Concrete-Chrono-Development/chrono-preprocessor/blob/main/LICENSE
//
// ================================================================================
// Face Facet Data File
// ================================================================================
//
// Data Structure:
// n x1 y1 z1 x2 y2 z2 x3 y3 z3
// One line per face facet, first number is the tet node index
// Note: All indices are zero-indexed
//
// ================================================================================
35.35533905 35.35533905 200
33.03005219 37.5368576 192.9765472
29.38926315 40.45085144 200
33.03005219 37.5368576 7.023454666
35.35533905 35.35533905 0
29.38926315 40.45085144 0
33.72148514 36.91695404 83.83243561
34.35578918 36.32739639 74.86618042
28.51255035 41.07352448 78.11244965
29.71149254 40.21476364 68.82004547
-0.2476722896 49.99938583 81.77710724
-7.869939804 49.37675476 86.54174805
-0.1258019954 49.9998436 91.35363007
-8.025485992 49.35171127 77.39784241
7.821723461 -49.38441849 0
3.925405502 -49.84567261 8.212080956
-9.800238962e-14 -50 0
-9.800238962e-14 -50 200
3.925405502 -49.84567261 191.7879181
7.821723461 -49.38441849 200
34.2918396 -36.38777161 192.5644531
35.35533905 -35.35533905 200
29.38926315 -40.45085144 200
35.35533905 -35.35533905 0
34.2918396 -36.38777161 7.43555212
29.38926315 -40.45085144 0
33.36746979 37.23723602 54.06218719
28.68413544 40.95388031 59.81374741
33.95640182 36.70099258 62.79570007
45.68366623 -20.32246971 7.7661376
44.5503273 -22.69952583 0
47.55282593 -15.45084953 0
45.68366623 -20.32246971 192.2338562
47.55282593 -15.45084953 200
44.5503273 -22.69952583 200
-47.55282593 15.45084953 200
-48.49026489 12.19403076 193.6794891
-49.38441849 7.821723461 200
-49.38441849 7.821723461 0
-48.49026489 12.19403076 6.320516109
-47.55282593 15.45084953 0
-2.795681477 49.92177963 23.57432556
-9.790583611 49.03207779 28.08042526
-3.443206787 49.88130188 33.84050751
-15.91788101 47.39853287 33.44952011
-15.66562843 47.48250198 23.93107986
-10.31439972 -48.92456436 28.27015114
-12.93456364 -48.29800415 19.67504501
-2.828775883 -49.91991425 23.03795624
-13.24228668 -48.21453857 180.2355499
-10.84383297 -48.80995178 171.6589203
-5.639810085 -49.6809082 177.2479401
37.74599457 -32.79084778 134.1182861
34.86912918 -35.83495331 125.4751053
40.69081879 -29.05610275 128.1299133
31.05375099 -39.18755722 132.9665833
47.9466629 -14.18158531 136.2206726
45.01827621 -21.7567215 139.6413727
45.42814255 -20.88741302 129.824646
-15.53194332 -47.52640152 46.9278717
-13.50326729 -48.14210129 36.38611603
-8.195648193 -49.32374191 42.58065033
-9.463729858 49.09621048 55.9646759
-16.51091385 47.19522858 56.92065048
-10.01506519 48.98671722 64.13478088
7.821723461 49.38441849 200
